name,episode_number,episode_season,date,country,channel,episode_url
4 Estrellas,110,1,01-11-2023,Espagne,TVE,serie-15345-4-Estrellas.html
Black Cake,01,1,01-11-2023,Etats-Unis,Hulu,serie-15614-Black-Cake.html
Black Cake,02,1,01-11-2023,Etats-Unis,Hulu,serie-15614-Black-Cake.html
Black Cake,03,1,01-11-2023,Etats-Unis,Hulu,serie-15614-Black-Cake.html
Blanca,05,2,01-11-2023,Italie,Rai 1,serie-14708-Blanca.html
Children Ruin Everything,06,3,01-11-2023,Canada,CTV,serie-13789-Children-Ruin-Everything.html
Chucky,05,3,01-11-2023,Etats-Unis,Syfy,serie-13240-Chucky.html
Cooper's Bar,05,2,01-11-2023,Etats-Unis,AMC,serie-14480-Cooper-s-Bar.html
Demain nous appartient,53,7,01-11-2023,France,TF1,serie-4146-Demain-nous-appartient.html
Hotel Mondial,05,2,01-11-2023,Allemagne,ZDF,serie-14993-Hotel-Mondial.html
Hudson & Rex,05,6,01-11-2023,Canada,Citytv,serie-8391-Hudson--Rex.html
I Leoni di Sicilia,05,1,01-11-2023,Etats-Unis,Disney+,serie-15685-I-Leoni-di-Sicilia.html
I Leoni di Sicilia,06,1,01-11-2023,Etats-Unis,Disney+,serie-15685-I-Leoni-di-Sicilia.html
I Leoni di Sicilia,07,1,01-11-2023,Etats-Unis,Disney+,serie-15685-I-Leoni-di-Sicilia.html
I Leoni di Sicilia,08,1,01-11-2023,Etats-Unis,Disney+,serie-15685-I-Leoni-di-Sicilia.html
Ici tout commence,48,4,01-11-2023,France,TF1,serie-11935-Ici-tout-commence.html
Inspirez expirez,04,1,01-11-2023,Canada,CraveTV,serie-15707-Inspirez-expirez.html
Inspirez expirez,05,1,01-11-2023,Canada,CraveTV,serie-15707-Inspirez-expirez.html
Magnum P.I. (2018),15,5,01-11-2023,Etats-Unis,NBC,serie-7010-Magnum-PI-(2018).html
Quantum Leap (2022),05,2,01-11-2023,Etats-Unis,NBC,serie-14394-Quantum-Leap-(2022).html
Robyn Hood,06,1,01-11-2023,Canada,Global,serie-15665-Robyn-Hood.html
Shetland,01,8,01-11-2023,Royaume-Uni,BBC One,serie-1139-Shetland.html
Sistas,14,6,01-11-2023,Etats-Unis,BET,serie-9954-Sistas.html
SurrealEstate,05,2,01-11-2023,Etats-Unis,Syfy,serie-13085-SurrealEstate.html
The Morning Show,09,3,01-11-2023,Etats-Unis,Apple TV+,serie-9906-The-Morning-Show.html
