name,episode_number,episode_season,date,country,channel
Arthdal Chronicles,08,2,01-10-2023,Corée du Sud,tvN
Behind Your Touch,16,1,01-10-2023,Etats-Unis,Netflix
Bob's Burgers,01,14,01-10-2023,Etats-Unis,Fox
Entre Tierras,04,1,01-10-2023,Espagne,ATRESplayer
Family Guy,01,22,01-10-2023,Etats-Unis,Fox
Heartland (CA),01,17,01-10-2023,Canada,CBC
Krapopolis,03,1,01-10-2023,Etats-Unis,Fox
Last Week Tonight With John Oliver,11,10,01-10-2023,Etats-Unis,HBO
Les Mystères de l'amour,08,33,01-10-2023,France,TMC
SkyMed,01,2,01-10-2023,Canada,CBC Gem
The Simpsons,01,35,01-10-2023,Etats-Unis,Fox
The Villains of Valley View,15,2,01-10-2023,Etats-Unis,Disney Channel
The Walking Dead: Daryl Dixon,04,1,01-10-2023,Etats-Unis,AMC
When Calls the Heart,10,10,01-10-2023,Etats-Unis,Hallmark Channel
4 Estrellas,94,1,03-10-2023,Espagne,TVE
Ahsoka,08,1,03-10-2023,Etats-Unis,Disney+
Alexandra Ehle,01,4,03-10-2023,France,France 3
À coeur battant,04,2,03-10-2023,Canada,Radio Canada
Club Soly,04,3,03-10-2023,Canada,Noovo.ca
Demain nous appartient,32,7,03-10-2023,France,TF1
Found,01,1,03-10-2023,Etats-Unis,NBC
Ici tout commence,27,4,03-10-2023,France,TF1
Only Murders in The Building,10,3,03-10-2023,Etats-Unis,Hulu
Un Si Grand Soleil,24,6,03-10-2023,France,France 2
Une Affaire Criminelle,04,2,03-10-2023,Canada,Noovo.ca
4 Estrellas,95,1,04-10-2023,Espagne,TVE
Aller simple,04,2,04-10-2023,Canada,Noovo.ca
American Horror Story,03,12,04-10-2023,Etats-Unis,FX
Archer (2009),07,14,04-10-2023,Etats-Unis,FXX
Assisted Living,20,4,04-10-2023,Etats-Unis,BET
Assisted Living,21,4,04-10-2023,Etats-Unis,BET
Assisted Living,22,4,04-10-2023,Etats-Unis,BET
Bones of Crows,03,1,04-10-2023,Canada,CBC
Children Ruin Everything,02,3,04-10-2023,Canada,CTV
Chucky,01,3,04-10-2023,Etats-Unis,Syfy
Demain nous appartient,33,7,04-10-2023,France,TF1
Hans River Police,07,1,04-10-2023,Etats-Unis,Disney+
Hans River Police,08,1,04-10-2023,Etats-Unis,Disney+
Hotel Mondial,01,2,04-10-2023,Allemagne,ZDF
Hudson & Rex,01,6,04-10-2023,Canada,Citytv
Ici tout commence,28,4,04-10-2023,France,TF1
Invasion (2021),07,2,04-10-2023,Etats-Unis,Apple TV+
Magnum P.I. (2018),11,5,04-10-2023,Etats-Unis,NBC
Quantum Leap (2022),01,2,04-10-2023,Etats-Unis,NBC
RFDS,08,2,04-10-2023,Australie,Seven
Robyn Hood,02,1,04-10-2023,Canada,Global
SurrealEstate,01,2,04-10-2023,Etats-Unis,Syfy
The Morning Show,05,3,04-10-2023,Etats-Unis,Apple TV+
The Worst of Evil,04,1,04-10-2023,Etats-Unis,Disney+
The Worst of Evil,05,1,04-10-2023,Etats-Unis,Disney+
Un Si Grand Soleil,25,6,04-10-2023,France,France 2
Young Dylan,05,4,04-10-2023,Etats-Unis,Nickelodeon
4 Estrellas,96,1,05-10-2023,Espagne,TVE
All Creatures Great and Small (2020),01,4,05-10-2023,Royaume-Uni,Channel 5
À La Carte,04,2,05-10-2023,Etats-Unis,ALLBLK
Blanca,01,2,05-10-2023,Italie,Rai 1
Demain nous appartient,34,7,05-10-2023,France,TF1
Everything Now,01,1,05-10-2023,Etats-Unis,Netflix
Everything Now,02,1,05-10-2023,Etats-Unis,Netflix
Everything Now,03,1,05-10-2023,Etats-Unis,Netflix
Everything Now,04,1,05-10-2023,Etats-Unis,Netflix
Everything Now,05,1,05-10-2023,Etats-Unis,Netflix
Everything Now,06,1,05-10-2023,Etats-Unis,Netflix
Everything Now,07,1,05-10-2023,Etats-Unis,Netflix
Everything Now,08,1,05-10-2023,Etats-Unis,Netflix
Fritzie - Der Himmel muss warten,01,4,05-10-2023,Allemagne,ZDF
Fritzie - Der Himmel muss warten,02,4,05-10-2023,Allemagne,ZDF
Ici tout commence,29,4,05-10-2023,France,TF1
Les révoltés,05,1,05-10-2023,Canada,Club illico 
Les révoltés,06,1,05-10-2023,Canada,Club illico 
Loki,01,2,05-10-2023,Etats-Unis,Disney+
Lupin,01,3,05-10-2023,Etats-Unis,Netflix
Lupin,02,3,05-10-2023,Etats-Unis,Netflix
Lupin,03,3,05-10-2023,Etats-Unis,Netflix
Lupin,04,3,05-10-2023,Etats-Unis,Netflix
Lupin,05,3,05-10-2023,Etats-Unis,Netflix
Lupin,06,3,05-10-2023,Etats-Unis,Netflix
Lupin,07,3,05-10-2023,Etats-Unis,Netflix
Our Flag Means Death,01,2,05-10-2023,Etats-Unis,HBO Max
Our Flag Means Death,02,2,05-10-2023,Etats-Unis,HBO Max
Our Flag Means Death,03,2,05-10-2023,Etats-Unis,HBO Max
Rictus,07,1,05-10-2023,France,OCS
Rictus,08,1,05-10-2023,France,OCS
Rictus,09,1,05-10-2023,France,OCS
Sous contrôle,01,1,05-10-2023,France,Arte
Sous contrôle,02,1,05-10-2023,France,Arte
Sous contrôle,03,1,05-10-2023,France,Arte
Sous contrôle,04,1,05-10-2023,France,Arte
Sous contrôle,05,1,05-10-2023,France,Arte
Sous contrôle,06,1,05-10-2023,France,Arte
Star Trek: Lower Decks,06,4,05-10-2023,Etats-Unis,Paramount+
Tacoma FD,12,4,05-10-2023,Etats-Unis,truTV
Tacoma FD,13,4,05-10-2023,Etats-Unis,truTV
Young Love,09,1,05-10-2023,Etats-Unis,HBO Max
Young Love,10,1,05-10-2023,Etats-Unis,HBO Max
Young Love,11,1,05-10-2023,Etats-Unis,HBO Max
Young Love,12,1,05-10-2023,Etats-Unis,HBO Max
Billions,09,7,06-10-2023,Etats-Unis,Showtime
Demain nous appartient,35,7,06-10-2023,France,TF1
Familjen Andersson,08,1,06-10-2023,Suède,SVT Play
Gaslight,04,1,06-10-2023,Suède,SVT Play
Gaslight,05,1,06-10-2023,Suède,SVT Play
Gaslight,06,1,06-10-2023,Suède,SVT Play
Gen V,04,1,06-10-2023,Etats-Unis,Prime Video
Ghosts (UK),01,5,06-10-2023,Royaume-Uni,BBC One
Ghosts (UK),02,5,06-10-2023,Royaume-Uni,BBC One
Ghosts (UK),03,5,06-10-2023,Royaume-Uni,BBC One
Ghosts (UK),04,5,06-10-2023,Royaume-Uni,BBC One
Ghosts (UK),05,5,06-10-2023,Royaume-Uni,BBC One
Ghosts (UK),06,5,06-10-2023,Royaume-Uni,BBC One
Huset,06,1,06-10-2023,Danemark,DR1
Ici tout commence,30,4,06-10-2023,France,TF1
Last Exit Schinkenstraße,01,1,06-10-2023,Etats-Unis,Prime Video
Last Exit Schinkenstraße,02,1,06-10-2023,Etats-Unis,Prime Video
Last Exit Schinkenstraße,03,1,06-10-2023,Etats-Unis,Prime Video
Last Exit Schinkenstraße,04,1,06-10-2023,Etats-Unis,Prime Video
Last Exit Schinkenstraße,05,1,06-10-2023,Etats-Unis,Prime Video
Last Exit Schinkenstraße,06,1,06-10-2023,Etats-Unis,Prime Video
Power Book IV: Force,06,2,06-10-2023,Etats-Unis,Starz
Shoresy,03,2,06-10-2023,Canada,CraveTV
SOKO Leipzig,07,24,06-10-2023,Allemagne,ZDF
Solsidan,03,8,06-10-2023,Suède,TV4
Still Up,05,1,06-10-2023,Etats-Unis,Apple TV+
